system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,recovery_s,asr_text
ckpt:runs/vaani_full_r3_s1/best.pt,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24360601,17.015789031982422,16.929845809936523,0.9890396193279223,2.514620780944824,3.153962341568738,4.115485772409,2.785801051099849,nan,वेरे चाचा क्रिकेट के शोक्किया खिलाडी हैं
ckpt:runs/vaani_full_r3_s1/best.pt,0001,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24359451,12.907024383544922,12.678833961486816,0.938774893334074,2.202772617340088,2.9696325941720874,3.9594996720193274,2.638324378466634,nan,रेना को एक और जद्काचिन ने चुपर किंष ने नहीं की आरी टेन.
ckpt:runs/vaani_full_r3_s1/best.pt,0002,changing_-10,changing,-10.0,False,False,,,ls:2007-149877-0004,6.821804523468018,5.909860610961914,0.808629336227816,1.22352135181427,3.0277317493747997,3.723726573148004,2.6716642558535453,nan,"fine clothes, good eating, in particular, a company and a point of shift of successful bed."
ckpt:runs/vaani_full_r3_s1/best.pt,0003,changing_-10,changing,-10.0,True,False,,,ls:2007-132570-0019,9.314412117004395,8.795684814453125,0.9099541782342754,1.6859638690948486,3.3089829617519513,3.447162149252156,2.7812642403878263,nan,and nothing to be seen but the old castle walls. So they helped one another up again as fast as they could.
ckpt:runs/vaani_full_r3_s1/best.pt,0004,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0075,10.2193603515625,9.821928024291992,0.9054264169346153,1.4941887855529785,3.507371170462604,4.149682697939639,3.2303744256113,nan,a session of Cromwell to Supreme Power in December 1653 with the title of Lord Protector.
ckpt:runs/vaani_full_r3_s1/best.pt,0005,changing_-10,changing,-10.0,True,False,,,ls:1081-128618-0002,6.885598182678223,6.144729137420654,0.664321658362523,2.0055108070373535,3.470850833949371,4.099652983711033,3.170528798250372,nan,Boiled perch with oyster sauce. Prepare and clean the fish and
ckpt:runs/vaani_full_r3_s1/best.pt,0006,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_30625449,6.634573459625244,5.650871276855469,0.812860637643688,1.4205195903778076,2.891631794474898,4.061802970340218,2.572275367877778,nan,अपने किटारी आपन लख्च्वुएद होनी योर्च्वाँ की आब जाए।
ckpt:runs/vaani_full_r3_s1/best.pt,0007,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_35081300,10.998777389526367,10.795034408569336,0.8244022685981719,1.4804387092590332,2.5498405265758595,3.9491933680715228,2.163484944567631,nan,अगर बाद़ा पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर �
ckpt:runs/vaani_full_r3_s1/best.pt,0008,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0034,4.996165752410889,3.3468093872070312,0.7969759345106946,1.2301253080368042,3.4579388537918203,3.6947357359246045,3.010156094540018,nan,"were on the side of the ring base. The dunes, which sleets covered the seas and the welfare"
ckpt:runs/vaani_full_r3_s1/best.pt,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27761653,5.386496543884277,3.96183443069458,0.7386545213607263,1.4630337953567505,2.3376225732914557,3.306197998864505,1.8398965748746279,nan,अदिन लेंगे लेंगे लेंगे लेंगे लेंगे लेंगे लेंगे लेंगे लेंगे विक्टन्सी परे अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अप
