i,seed,scene,ref_mode,near,wind,m2_bucket,ref_speech_gain_db,snr_db,clipped,n_speech,n_noise,auc_item
0,55:0,command_post,physical,none,no,physical,-18.946006628146606,1.8021326065063477,False,8783,13410,0.9988806843757629
1,55:1,helicopter,physical,none,yes,physical,-11.299731939675237,-3.9800710678100586,True,5112,46555,0.8375401496887207
2,55:2,command_post,physical,pos,no,physical,-11.231816755070426,6.657046794891357,False,4486,48826,0.8564203381538391
3,55:3,apc,low_ild,pos,no,-6..+3,1.1592716579700593,-5.598716735839844,True,2932,59526,0.15914613008499146
4,55:4,command_post,physical,none,no,physical,-12.658184299736511,10.086058616638184,False,5127,41854,0.9315261244773865
5,55:5,helicopter,physical,none,no,physical,-15.715944284752165,-7.689139366149902,True,1556,69944,0.8282667398452759
6,55:6,apc,low_ild,pos,no,-6..+3,-3.5507883516125247,-15.270089149475098,True,239,87618,0.35997843742370605
7,55:7,command_post,physical,pos,no,physical,-13.365287446864471,9.38587760925293,False,6971,12839,0.9711040258407593
8,55:8,firefight,low_ild,none,no,-6..+3,-4.768515600838782,28.3709716796875,False,14845,1804,0.6942431926727295
9,55:9,windy_ridge,physical,pos,yes,physical,-9.321046167188587,19.11463165283203,False,10336,2167,0.7962210178375244
10,55:10,command_post,physical,pos,no,physical,-11.186537292329007,8.480477333068848,False,6982,39322,0.9497135877609253
11,55:11,windy_ridge,mono,none,yes,-6..+3,0.0,15.297636032104492,False,10708,2868,0.5000002384185791
12,55:12,patrol,physical,none,yes,physical,-9.404600035821908,20.50111961364746,False,18478,2307,0.9881618022918701
13,55:13,patrol,mono,none,yes,-6..+3,0.0,26.633575439453125,False,14047,1472,0.5
14,55:14,apc,physical,none,no,physical,-14.294092722376103,-0.696122407913208,True,2594,70394,0.8060492873191833
15,55:15,apc,low_ild,none,no,-6..+3,-3.3536172426602953,-3.8892316818237305,True,2585,33540,0.6416615843772888
16,55:16,drone,physical,pos,no,physical,-9.833251953326162,13.913517951965332,False,17064,3940,0.9306067824363708
17,55:17,drone,mono,none,yes,-6..+3,0.0,13.079615592956543,False,10427,21045,0.5
18,55:18,drone,physical,pos,no,physical,-15.800252897931006,13.32240104675293,False,7579,16107,0.872342050075531
19,55:19,patrol,physical,none,yes,physical,-16.08769472148026,12.159469604492188,False,9428,16739,0.9387158751487732
